os_name,os_version,os_build
Microsoft Windows 10 Pro,10.0.19045,19045
Microsoft Windows Server 2022 Standard Evaluation,10.0.20348,20348
Microsoft Windows Server 2022 Standard,10.0.20348,20348
Microsoft Windows 10 Home Single Language,10.0.19045,19045
Microsoft Windows Server 2019 Datacenter,10.0.17763,17763
Microsoft Windows Server 2019 Standard,10.0.17763,17763
Microsoft Windows 11 Pro,10.0.22631,22631
Microsoft Windows 11 Pro Insider Preview,10.0.23612,23612
Microsoft Windows Server 2016 Standard,10.0.14393,14393
Microsoft Windows Server 2012 R2 Standard Evaluation,6.3.9600,9600
Windows NT,10,17763
Microsoft Windows 10 Pro,10.0.19043,19043
brother,Firmware Ver.1.05  (12.10.02),Brother NC-8200h
