name,platform,system_type,agent_type,asset_owner,visible_name,auth_scan_status,last_discovered_time,logged_user_time,logged_in_user,asset_logon_user,asset_logon_time,auto_update,cred_id,snmp_cred_id,os_name,os_model,os_full_name,os_version,os_build,os_patches,os_install_date,os_autoupdate,os_vendor,snmp_info,codename,ip,ip_extra,asset_type,is_firewall,domain,kernel,unique_id,host_name,architecture,cpu_core,discovered,icon,status,hardware_model,importance,serial_number,mac,manufacturer,physical_memory,uptime,asset_category,last_reset_time,is_deprecated,deprecated_time,discovered_protocols,custom_profile_id,tags,manual_tags,agent_id,company_id,tenantid,id,created,updated,discoverysettings_id,last_ping_time,scan_status,ad_check,configuration_id,install_required_patches,full_os_build,finger_print,is_allowed,is_oval,asset_id,company_id__1,tenantid__1,vul_id,name__1,description,severity,base_score,exploitability_score,impact_score,epss_score,fix,url,problem_group_id,evidence,is_confirmed,is_suppressed,id__1,created__1,updated__1,suppressed_till,is_remediated,remediated_on
WIN10-114,windows,,LIGHTWEIGHT,,,True,2025-01-24 07:14:31.484702,,,,,,,,Microsoft Windows 10 Pro,,,10.0.19045,19045,"[""5050576"", ""5028951"", ""5011048"", ""5015684"", ""5020683"", ""5033052"", ""5050081"", ""5014032"", ""5025315"", ""5026879"", ""5028318"", ""5028380"", ""5029709"", ""5031539"", ""5039336"", ""5040565"", ""5041579"", ""5041581"", ""5043935"", ""5043130"", ""5046823"", ""5050388"", ""5050111"", ""925673"", ""4052623"", ""5001148"", ""5037570"", ""5001716"", ""5047486"", ""890830"", ""5050593"", ""2267602"", ""4023057""]",1687259061,Good,,{},Microsoft Windows 10 Pro,10.0.1.17,,discovered,False,,10.0.19041.5435,"[""win10-114"", ""07e844eb-b001-4747-ad4d-5eed14c609fd"", ""2e:c5:19:7e:06:7a""]",WIN10-114,64-bit,2,2025-01-23 12:43:28.561552,windows.svg,True,"Standard PC (Q35 + ICH9, 2009)",25,,2e:c5:19:7e:06:7a,QEMU,2149580800,67329,,2025-01-23 12:43:30.542511,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'JAKKA': ['JAOOO'], 'PUNHA': ['YEIL'], 'Asset Type': ['Workstation'], 'aaaaaaaaaa': ['aaaaaaaaaaaa'], 'Scan Status': ['Scanned'], 'Windows11Compatible': ['false']}",{},4027,9645,241996091870937089,39776,2025-01-23 12:43:28.561552,2025-01-24 07:14:31.484702,,2025-01-24 07:14:31.484702,True,WorkGroup,,,19045.5435,{},True,False,39776,9645,241996091870937089,CVE-2018-3639,Speculative Store Bypass,"Systems with microprocessors utilizing speculative execution and speculative execution of memory reads before the addresses of all prior memory writes are known may allow unauthorized disclosure of information to an attacker with local user access via a side-channel analysis, aka Speculative Store Bypass (SSB), Variant 4.",Medium,5.5,1.8,3.6,0.00771,Enable Windows mitigation,https://support.microsoft.com/help/4073119,3.0,Check performed: Speculative Store Bypass\nHardware vulnerable: True\nWindows mitigation enabled: False\nHardware is vulnerable to speculative store bypass: True\nWindows OS support for speculative store bypass disable is present: True\nWindows OS support for speculative store bypass disable is enabled system-wide: False,True,False,98204,2025-01-23 12:43:32.811470,2025-01-23 12:43:32.811472,,False,
WIN-J7J1G5810LF,windows,,LIGHTWEIGHT,,WIN-J7J1G5810LF,True,2025-01-24 06:29:22.688650,1737628534,administrator,,,,,,Microsoft Windows Server 2022 Standard Evaluation,,,10.0.20348,20348,"[""5049617"", ""5049983"", ""5044414"", ""5050117"", ""925673"", ""2538243"", ""2565063"", ""3085538"", ""2920724"", ""2920678"", ""2920720"", ""3114903"", ""3115081"", ""3115407"", ""3118262"", ""3118264"", ""3118263"", ""3191929"", ""3152281"", ""3213650"", ""3213551"", ""4011259"", ""4011574"", ""4011634"", ""4022193"", ""4022176"", ""4022219"", ""2920717"", ""4464538"", ""4032236"", ""4032254"", ""4011629"", ""4484145"", ""2920709"", ""4052623"", ""4484171"", ""4462117"", ""4484103"", ""3114524"", ""3118335"", ""4484104"", ""4462148"", ""5002251"", ""3191869"", ""5002244"", ""4011621"", ""4475581"", ""4464587"", ""5029497"", ""5002522"", ""5002469"", ""5002466"", ""5002340"", ""5002050"", ""5002567"", ""5002585"", ""5002594"", ""5002575"", ""5002634"", ""5002566"", ""5002635"", ""5002619"", ""4475587"", ""2920716"", ""5002652"", ""5002632"", ""890830"", ""5002656"", ""5002595"", ""5002675"", ""5002673"", ""5002670"", ""5050187"", ""2267602""]",1730309747,Error,,{},Microsoft Windows Server 2022 Standard Evaluation,10.0.1.35,,discovered,False,,10.0.20348.3089,"[""win-j7j1g5810lf"", ""03f9bc98-07f4-e211-bf94-28d2441cee45"", ""1003502001493"", ""28:d2:44:1c:ee:45"", ""1c:3e:84:e5:76:e1""]",WIN-J7J1G5810LF.ad.mycybercns.com,64-bit,4,2025-01-22 09:15:54.717648,windows.svg,True,20217,25,1003502001493,28:d2:44:1c:ee:45,LENOVO,8589934592,70776,,2025-01-22 09:15:57.222552,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'JAKKA': ['JAOOO'], 'PUNHA': ['YEIL'], 'Asset Type': ['Server'], 'aaaaaaaaaa': ['aaaaaaaaaaaa'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3965,9622,241996091870937089,39383,2025-01-22 09:15:54.717648,2025-01-24 06:29:22.688650,,2025-01-24 06:29:22.688650,True,Domain Joined,,,20348.3091,{},True,False,39383,9622,241996091870937089,CVE-2013-3900,WinVerifyTrust Signature Validation Vulnerability,WinVerifyTrust Signature Validation Vulnerability,High,7.4,7.4,7.4,0.23734,Add WinVerifyTrust Signature,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900,2,"Registry key : 'HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck' , Value : 0",True,True,98407,2025-01-24 06:29:22.825921,2025-01-24 06:29:22.825921,2123-12-30 00:00:00,False,
CCNS-DC7,windows,,LIGHTWEIGHT,,,True,2025-01-24 08:05:26.872748,,,,,,,,Microsoft Windows Server 2022 Standard,,,10.0.20348,20348,"[""5041948"", ""5042881"", ""5043167"", ""925673"", ""2538243"", ""2565063"", ""5037570"", ""5040711"", """", ""5042349"", ""890830""]",1691513178,Error,,{},Microsoft Windows Server 2022 Standard,10.0.0.3,,discovered,False,,10.0.20348.2694,"[""ccns-dc7"", ""d0:27:88:e6:0e:a2""]",CCNS-DC7.ad.mycybercns.com,64-bit,2,2025-01-20 07:03:50.169206,windows.svg,True,AT-7000 Series,25,THF10V040533000010,d0:27:88:e6:0e:a2,Foxconn,8589934592,2665100,,2025-01-23 18:52:23.152136,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3972,9624,241996091870937089,39195,2025-01-20 07:03:50.169206,2025-01-24 08:05:26.872748,,2025-01-24 08:05:26.872748,True,Domain Controller,,,20348.2700,{},True,False,39195,9624,241996091870937089,CVE-2017-5715,Branch Target Injection (Spectre-v2),Systems with microprocessors utilizing speculative execution and indirect branch prediction may allow unauthorized disclosure of information to an attacker with local user access via a side-channel analysis.,Medium,5.6,1.1,4.0,0.97469,Install BIOS/firmware update and enable Windows support,https://support.microsoft.com/help/4073119,3.0,Check performed: Branch Target Injection\nHardware vulnerable: True\nWindows mitigation enabled: False\nCPU microcode update status: \nOS support for branch target injection mitigation is present: True\nWindows OS support for branch target injection mitigation is enabled: False,True,False,97229,2025-01-20 07:04:05.409374,2025-01-20 07:04:05.409376,,False,
WIN10-114,windows,,LIGHTWEIGHT,,,True,2025-01-24 07:14:31.484702,,,,,,,,Microsoft Windows 10 Pro,,,10.0.19045,19045,"[""5050576"", ""5028951"", ""5011048"", ""5015684"", ""5020683"", ""5033052"", ""5050081"", ""5014032"", ""5025315"", ""5026879"", ""5028318"", ""5028380"", ""5029709"", ""5031539"", ""5039336"", ""5040565"", ""5041579"", ""5041581"", ""5043935"", ""5043130"", ""5046823"", ""5050388"", ""5050111"", ""925673"", ""4052623"", ""5001148"", ""5037570"", ""5001716"", ""5047486"", ""890830"", ""5050593"", ""2267602"", ""4023057""]",1687259061,Good,,{},Microsoft Windows 10 Pro,10.0.1.17,,discovered,False,,10.0.19041.5435,"[""win10-114"", ""07e844eb-b001-4747-ad4d-5eed14c609fd"", ""2e:c5:19:7e:06:7a""]",WIN10-114,64-bit,2,2025-01-23 12:43:28.561552,windows.svg,True,"Standard PC (Q35 + ICH9, 2009)",25,,2e:c5:19:7e:06:7a,QEMU,2149580800,67329,,2025-01-23 12:43:30.542511,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'JAKKA': ['JAOOO'], 'PUNHA': ['YEIL'], 'Asset Type': ['Workstation'], 'aaaaaaaaaa': ['aaaaaaaaaaaa'], 'Scan Status': ['Scanned'], 'Windows11Compatible': ['false']}",{},4027,9645,241996091870937089,39776,2025-01-23 12:43:28.561552,2025-01-24 07:14:31.484702,,2025-01-24 07:14:31.484702,True,WorkGroup,,,19045.5435,{},True,False,39776,9645,241996091870937089,CVE-2013-3900,WinVerifyTrust Signature Validation Vulnerability,WinVerifyTrust Signature Validation Vulnerability,High,7.4,7.4,7.4,0.23734,Add WinVerifyTrust Signature,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900,2,"Registry key : 'HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck' , Value : 0",True,False,98421,2025-01-24 07:14:31.562155,2025-01-24 07:14:31.562155,,False,
DESKTOP-R1I4U1S,windows,,LIGHTWEIGHT,,,True,2025-01-22 11:17:51.322907,1737543915,Hash,,,,,,Microsoft Windows 10 Home Single Language,,,10.0.19045,19045,"[""5049621"", ""5042056"", ""5011048"", ""5015684"", ""5033052"", ""5049981"", ""5014032"", ""5025315"", ""5041579"", ""5043935"", ""5043130"", ""5046823"", ""5050388"", ""4052623"", ""5001716"", ""890830"", ""5050188"", ""2267602"", ""4023057""]",1646835591,Good,,{},Microsoft Windows 10 Home Single Language,172.168.1.11,,discovered,False,,10.0.19041.5369,"[""5dvgn42"", ""fc:77:74:39:ed:b0"", ""desktop-r1i4u1s"", ""4c4c4544-0044-5610-8047-b5c04f4e3432""]",DESKTOP-R1I4U1S,64-bit,4,2025-01-22 05:27:09.655706,windows.svg,True,Inspiron 5370,25,5DVGN42,0a:00:27:00:00:16,Dell Inc.,8589934592,436,,2025-01-22 05:27:13.558060,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'hem': ['hem'], 'key2': ['val3'], 'test2': ['6'], 'TagXYZ': ['TagXYZValue'], 'Asset Type': ['Workstation'], 'compatible': ['100'], 'Scan Status': ['Scanned'], 'zzzzzzzzzzzzzzz': ['zzzzzzzzzzzzzzz'], 'Windows11Compatible': ['false']}",{},4006,8136,241996091870937089,39247,2025-01-22 05:27:09.655706,2025-01-22 11:17:51.322907,,2025-01-22 11:17:51.322907,True,WorkGroup,,,19045.5371,{},True,False,39247,8136,241996091870937089,CVE-2018-3639,Speculative Store Bypass,"Systems with microprocessors utilizing speculative execution and speculative execution of memory reads before the addresses of all prior memory writes are known may allow unauthorized disclosure of information to an attacker with local user access via a side-channel analysis, aka Speculative Store Bypass (SSB), Variant 4.",Medium,5.5,1.8,3.6,0.00771,Enable Windows mitigation,https://support.microsoft.com/help/4073119,3.0,Check performed: Speculative Store Bypass\nHardware vulnerable: True\nWindows mitigation enabled: False\nHardware is vulnerable to speculative store bypass: True\nWindows OS support for speculative store bypass disable is present: True\nWindows OS support for speculative store bypass disable is enabled system-wide: False,True,False,97676,2025-01-22 05:27:16.113214,2025-01-22 05:27:16.113217,,False,
EC2AMAZ-J266UJL,windows,,LIGHTWEIGHT,,,True,2025-01-24 08:53:48.425355,,,,,,,,Microsoft Windows Server 2019 Datacenter,,,10.0.17763,17763,"[""5049615"", ""4470502"", ""4470788"", ""4480056"", ""4486153"", ""4493510"", ""4499728"", ""4504369"", ""4512577"", ""4512937"", ""4521862"", ""4523204"", ""4535680"", ""4539571"", ""4549947"", ""4558997"", ""4562562"", ""4566424"", ""4570332"", ""4577667"", ""4587735"", ""4589208"", ""4598480"", ""4601393"", ""5000859"", ""5001404"", ""5003243"", ""5003711"", ""5005112"", ""5012170"", ""5050008"", ""5006754"", ""5008287"", ""5009642"", ""5011574"", ""5012675"", ""5014031"", ""5014797"", ""5015896"", ""5017400"", ""5020374"", ""5023789"", ""5028316"", ""5030505"", ""5031589"", ""5032306"", ""5034863"", ""5035963"", ""5037017"", ""5039335"", ""5040563"", ""5041577"", ""5043126"", ""5050110"", ""5005701"", ""925673"", ""4052623"", ""5037570"", """", ""890830"", ""5050182"", ""2267602""]",1673234326,Error,,{},Microsoft Windows Server 2019 Datacenter,172.26.8.234,,discovered,False,,10.0.17763.6766,"[""ec2amaz-j266ujl"", ""02:2b:eb:8b:3e:50""]",EC2AMAZ-J266UJL,64-bit,2,2025-01-17 10:56:22.479958,windows.svg,True,HVM domU,25,ec2ef86d-6459-3faa-4b78-6df548d42394,00:60:73:5f:27:d5,Xen,4294967296,743437,,2025-01-17 10:56:29.960107,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3943,9617,241996091870937089,39065,2025-01-17 10:56:22.479958,2025-01-24 08:53:48.425355,,2025-01-24 08:53:48.425355,True,WorkGroup,,,17763.6775,{},True,False,39065,9617,241996091870937089,CVE-2018-3639,Speculative Store Bypass,"Systems with microprocessors utilizing speculative execution and speculative execution of memory reads before the addresses of all prior memory writes are known may allow unauthorized disclosure of information to an attacker with local user access via a side-channel analysis, aka Speculative Store Bypass (SSB), Variant 4.",Medium,5.5,1.8,3.6,0.00771,Enable Windows mitigation,https://support.microsoft.com/help/4073119,3.0,Check performed: Speculative Store Bypass\nHardware vulnerable: True\nWindows mitigation enabled: False\nHardware is vulnerable to speculative store bypass: True\nWindows OS support for speculative store bypass disable is present: True\nWindows OS support for speculative store bypass disable is enabled system-wide: False,True,False,96661,2025-01-17 10:56:32.307366,2025-01-17 10:56:32.307367,,False,
EC2AMAZ-J266UJL,windows,,LIGHTWEIGHT,,,True,2025-01-24 08:53:48.425355,,,,,,,,Microsoft Windows Server 2019 Datacenter,,,10.0.17763,17763,"[""5049615"", ""4470502"", ""4470788"", ""4480056"", ""4486153"", ""4493510"", ""4499728"", ""4504369"", ""4512577"", ""4512937"", ""4521862"", ""4523204"", ""4535680"", ""4539571"", ""4549947"", ""4558997"", ""4562562"", ""4566424"", ""4570332"", ""4577667"", ""4587735"", ""4589208"", ""4598480"", ""4601393"", ""5000859"", ""5001404"", ""5003243"", ""5003711"", ""5005112"", ""5012170"", ""5050008"", ""5006754"", ""5008287"", ""5009642"", ""5011574"", ""5012675"", ""5014031"", ""5014797"", ""5015896"", ""5017400"", ""5020374"", ""5023789"", ""5028316"", ""5030505"", ""5031589"", ""5032306"", ""5034863"", ""5035963"", ""5037017"", ""5039335"", ""5040563"", ""5041577"", ""5043126"", ""5050110"", ""5005701"", ""925673"", ""4052623"", ""5037570"", """", ""890830"", ""5050182"", ""2267602""]",1673234326,Error,,{},Microsoft Windows Server 2019 Datacenter,172.26.8.234,,discovered,False,,10.0.17763.6766,"[""ec2amaz-j266ujl"", ""02:2b:eb:8b:3e:50""]",EC2AMAZ-J266UJL,64-bit,2,2025-01-17 10:56:22.479958,windows.svg,True,HVM domU,25,ec2ef86d-6459-3faa-4b78-6df548d42394,00:60:73:5f:27:d5,Xen,4294967296,743437,,2025-01-17 10:56:29.960107,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3943,9617,241996091870937089,39065,2025-01-17 10:56:22.479958,2025-01-24 08:53:48.425355,,2025-01-24 08:53:48.425355,True,WorkGroup,,,17763.6775,{},True,False,39065,9617,241996091870937089,CVE-2018-12126,Microarchitectural Data Sampling,Microarchitectural Store Buffer Data Sampling (MSBDS): Store buffers on some microprocessors utilizing speculative execution may allow an authenticated user to potentially enable information disclosure via a side channel with local access. A list of impacted products can be found here: https://www.intel.com/content/dam/www/public/us/en/documents/corporate-information/SA00233-microcode-update-guidance_05132019.pdf,Medium,5.6,1.1,4.0,0.00077,Enable Windows mitigation,https://support.microsoft.com/help/4073119,3.0,Check performed: Microarchitectural Data Sampling\nHardware vulnerable: True\nWindows mitigation enabled: False\nHardware is vulnerable to MDS: True\nWindows OS support for MDS mitigation is present: True\nWindows OS support for MDS mitigation is enabled: False,True,False,96662,2025-01-17 10:56:32.307373,2025-01-17 10:56:32.307373,,False,
EC2AMAZ-J266UJL,windows,,LIGHTWEIGHT,,,True,2025-01-24 08:53:48.425355,,,,,,,,Microsoft Windows Server 2019 Datacenter,,,10.0.17763,17763,"[""5049615"", ""4470502"", ""4470788"", ""4480056"", ""4486153"", ""4493510"", ""4499728"", ""4504369"", ""4512577"", ""4512937"", ""4521862"", ""4523204"", ""4535680"", ""4539571"", ""4549947"", ""4558997"", ""4562562"", ""4566424"", ""4570332"", ""4577667"", ""4587735"", ""4589208"", ""4598480"", ""4601393"", ""5000859"", ""5001404"", ""5003243"", ""5003711"", ""5005112"", ""5012170"", ""5050008"", ""5006754"", ""5008287"", ""5009642"", ""5011574"", ""5012675"", ""5014031"", ""5014797"", ""5015896"", ""5017400"", ""5020374"", ""5023789"", ""5028316"", ""5030505"", ""5031589"", ""5032306"", ""5034863"", ""5035963"", ""5037017"", ""5039335"", ""5040563"", ""5041577"", ""5043126"", ""5050110"", ""5005701"", ""925673"", ""4052623"", ""5037570"", """", ""890830"", ""5050182"", ""2267602""]",1673234326,Error,,{},Microsoft Windows Server 2019 Datacenter,172.26.8.234,,discovered,False,,10.0.17763.6766,"[""ec2amaz-j266ujl"", ""02:2b:eb:8b:3e:50""]",EC2AMAZ-J266UJL,64-bit,2,2025-01-17 10:56:22.479958,windows.svg,True,HVM domU,25,ec2ef86d-6459-3faa-4b78-6df548d42394,00:60:73:5f:27:d5,Xen,4294967296,743437,,2025-01-17 10:56:29.960107,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3943,9617,241996091870937089,39065,2025-01-17 10:56:22.479958,2025-01-24 08:53:48.425355,,2025-01-24 08:53:48.425355,True,WorkGroup,,,17763.6775,{},True,False,39065,9617,241996091870937089,CVE-2018-12127,Microarchitectural Data Sampling,Microarchitectural Load Port Data Sampling (MLPDS): Load ports on some microprocessors utilizing speculative execution may allow an authenticated user to potentially enable information disclosure via a side channel with local access. A list of impacted products can be found here: https://www.intel.com/content/dam/www/public/us/en/documents/corporate-information/SA00233-microcode-update-guidance_05132019.pdf,Medium,5.6,1.1,4.0,0.00077,Enable Windows mitigation,https://support.microsoft.com/help/4073119,3.0,Check performed: Microarchitectural Data Sampling\nHardware vulnerable: True\nWindows mitigation enabled: False\nHardware is vulnerable to MDS: True\nWindows OS support for MDS mitigation is present: True\nWindows OS support for MDS mitigation is enabled: False,True,False,96663,2025-01-17 10:56:32.307377,2025-01-17 10:56:32.307378,,False,
INSPECT-365-EU,windows,,LIGHTWEIGHT,,,True,2025-01-24 07:57:30.178179,1732882692,Administrator,,,,,,Microsoft Windows Server 2022 Standard,,,10.0.20348,20348,"[""5044025"", ""5044281"", ""5044414"", ""4052623"", ""890830"", ""5044099"", ""2267602""]",1732882639,Error,,{},Microsoft Windows Server 2022 Standard,208.76.221.39,,discovered,False,,10.0.20348.2760,"[""inspect-365-eu"", ""5840671b-bda5-44b4-a0f9-ffb191e782b4"", ""79493383"", ""56:00:05:30:01:cf""]",Inspect-365-EU,64-bit,1,2025-01-22 10:08:36.709063,windows.svg,True,VOC,25,79493383,56:00:05:30:01:cf,Vultr,4294967296,4822302,,2025-01-22 12:56:14.979020,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},4018,9638,241996091870937089,39391,2025-01-22 10:08:36.709063,2025-01-24 07:57:30.178179,,2025-01-24 07:57:30.178179,True,WorkGroup,,,20348.2762,{},True,False,39391,9638,241996091870937089,CVE-2013-3900,WinVerifyTrust Signature Validation Vulnerability,WinVerifyTrust Signature Validation Vulnerability,High,7.4,7.4,7.4,0.23734,Add WinVerifyTrust Signature,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900,2,"Registry key : 'HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck' , Value : 0",True,False,98367,2025-01-24 01:17:19.846266,2025-01-24 01:17:19.846266,,False,
WIN-49UKSG837PV,windows,,LIGHTWEIGHT,,,True,2025-01-24 06:04:08.602095,1737745949,administrator,,,,,,Microsoft Windows Server 2019 Standard,,,10.0.17763,17763,"[""5049608"", ""4512577"", ""4577586"", ""4589208"", ""5012170"", ""4512578"", ""5050110"", ""4052623"", ""890830"", ""5050182"", ""2267602""]",1737525817,Error,,{},Microsoft Windows Server 2019 Standard,10.0.0.244,,discovered,False,,10.0.17763.737,"[""win-49uksg837pv"", ""aeb90eeb-594a-49ef-9a20-e3693e8be749"", ""be:cf:df:b5:63:ab""]",WIN-49UKSG837PV.lego.in,64-bit,2,2025-01-22 08:41:34.202598,windows.svg,True,"Standard PC (i440FX + PIIX, 1996)",25,,be:cf:df:b5:63:ab,QEMU,2147483648,148018,,2025-01-23 10:58:32.228512,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'JAKKA': ['JAOOO'], 'PUNHA': ['YEIL'], 'Asset Type': ['Server'], 'aaaaaaaaaa': ['aaaaaaaaaaaa'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},4015,9633,241996091870937089,39379,2025-01-22 08:41:34.202598,2025-01-24 06:04:08.602095,,2025-01-24 06:04:08.602095,True,Domain Controller,,,17763.737,{},True,False,39379,9633,241996091870937089,CVE-2013-3900,WinVerifyTrust Signature Validation Vulnerability,WinVerifyTrust Signature Validation Vulnerability,High,7.4,7.4,7.4,0.23734,Add WinVerifyTrust Signature,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900,2,"Registry key : 'HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck' , Value : 0",True,True,98379,2025-01-24 05:08:27.026671,2025-01-24 05:08:27.026671,2123-12-30 00:00:00,False,
