problem_name,problem_id,is_suppressed,suppressed_till,evidence,is_confirmed,product,fix,url
CVE-2022-31741,1264180_0,False,placeholder,placeholder,True,RHSA-2022:4870: firefox security update (Important),RHSA-2022:4870,https://access_redhat_com/errata/RHSA-2022:4870
CVE-2024-4767,31546756_0,False,placeholder,placeholder,True,RHSA-2024:2881: firefox security update (Important),RHSA-2024:2881,https://access_redhat_com/errata/RHSA-2024:2881
CVE-2024-1549,31524687_0,False,placeholder,placeholder,True,RHSA-2024:0976: firefox security update (Important),RHSA-2024:0976,https://access_redhat_com/errata/RHSA-2024:0976
CVE-2023-28164,98292_0,False,placeholder,placeholder,True,RHSA-2023:1333: firefox security update (Important),RHSA-2023:1333,https://access_redhat_com/errata/RHSA-2023:1333
CVE-2024-46709,31372414_0,False,placeholder,placeholder,True,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,https://ubuntu_com/security/CVE-2024-46709
CVE-2023-42822,159492_0,False,placeholder,placeholder,True,USN-6474-1 -- xrdp vulnerabilities,USN-6474-1 -- xrdp vulnerabilities,https://ubuntu_com/security/CVE-2023-42822
CVE-2023-4863,1090230_0,False,placeholder,placeholder,True,RHSA-2023:5197: firefox security update (Important),RHSA-2023:5197,https://access_redhat_com/errata/RHSA-2023:5197
CVE-2021-20225,113449_0,False,placeholder,placeholder,True,RHSA-2021:0699: grub2 security update (Moderate),RHSA-2021:0699,https://access_redhat_com/errata/RHSA-2021:0699
CVE-2024-46746,31578924_0,False,placeholder,placeholder,True,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,https://ubuntu_com/security/CVE-2024-46746
CVE-2024-42258,31567971_0,False,placeholder,placeholder,True,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,https://ubuntu_com/security/CVE-2024-42258
CVE-2022-46340,1263243_0,False,placeholder,placeholder,True,RHSA-2023:0046: xorg-x11-server security update (Important),RHSA-2023:0046,https://access_redhat_com/errata/RHSA-2023:0046
CVE-2024-35898,25364384_0,False,placeholder,placeholder,True,RHSA-2024:8856: kernel security update (Moderate),RHSA-2024:8856,https://access_redhat_com/errata/RHSA-2024:8856
CVE-2024-46803,24837522_0,False,placeholder,placeholder,True,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,USN-7154-2 -- Linux kernel (HWE) vulnerabilities,https://ubuntu_com/security/CVE-2024-46803
